path,creates_table,rls_same_file,security_definer_count,search_path_set,fk_added,tier,verdict
supabase/migrations/00000000000000_baseline_from_prod.sql,Y,Y,251,Y,Y,0,N/A (pg_dump baseline snapshot of live prod schema, not a hand-authored diff)
supabase/migrations/20260430010000_foxy_chat_messages_add_structured.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260503120000_add_ff_goal_adaptive_layers.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260503140000_add_phase2_goal_aware_selection.sql,N,N/A,1,Y,N,0,PASS
supabase/migrations/20260503160000_add_ff_goal_daily_plan.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260503180000_add_ff_goal_aware_rag.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260503200000_add_rag_pack_provenance.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260503210000_add_ff_goal_daily_plan_reminder.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260504100000_enable_quiz_oracle_in_prod.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260504100100_v2_quiz_raise_on_missing_snapshot.sql,N,N/A,3,Y,N,0,PASS
supabase/migrations/20260504100200_quiz_idempotency_key.sql,N,N/A,2,Y,N,0,PASS
supabase/migrations/20260504100300_server_only_quiz_submit_flag.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260504100400_marking_audit_view.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260504100500_backfill_quiz_shuffles_integrity.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260504100600_v1_quiz_rpc_user_agent_flag.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260504100700_fix_distinct_chapter_tuples_ambiguity.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260504100800_staging_baseline_catchup.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260504195900_ensure_experiment_observations.sql,Y,Y,0,N/A,Y,0,PASS
supabase/migrations/20260504200000_stem_lab_engagement_tier1.sql,Y,Y,5,Y,Y,0,PASS
supabase/migrations/20260504200100_stem_lab_badges.sql,Y,Y,6,Y,Y,0,PASS
supabase/migrations/20260504200200_add_conclusion_grading.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260505000100_quarantine_mojibake_content.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260505100000_disable_pg_cron_daily_in_favor_of_vercel.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260505100100_notifications_idempotency_key.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260505110000_atomic_cancel_subscription_rpc.sql,N,N/A,2,Y,N,0,PASS
supabase/migrations/20260505120000_account_deletion_flow.sql,Y,Y,2,Y,N,0,PASS
supabase/migrations/20260505130000_pre_debit_notice_events.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260505155126_fix_pricing_family_school_plan.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260505155227_fix_feature_flags_rollout_zero_consistency.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260505155525_fix_get_quiz_questions_verified_filter.sql,N,N/A,1,Y,N,0,PASS
supabase/migrations/20260505155635_fix_rls_service_policies_scope_to_service_role.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260505155947_backfill_bkt_mastery_all_sessions.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260506000001_fix_irt_and_affective_race_conditions.sql,N,N/A,3,Y,N,0,PASS
supabase/migrations/20260506000002_white_label_school_schema.sql,N,N/A,2,Y,N,0,PASS
supabase/migrations/20260506000003_restore_rls_with_check_clauses.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260507000001_add_ff_learn_read_mode_v1.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260507000002_add_ff_school_self_service_billing_v1.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260507000003_atomic_school_plan_change_rpc.sql,N,N/A,2,Y,N,0,PASS
supabase/migrations/20260507000004_add_tenant_type_and_typography.sql,N,N/A,0,N/A,Y,0,PASS
supabase/migrations/20260507000005_tenant_modules.sql,Y,Y,0,N/A,Y,0,PASS
supabase/migrations/20260507000006_tenant_configs.sql,Y,Y,0,N/A,Y,0,PASS
supabase/migrations/20260507000007_add_ff_event_bus_v1.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260507100000_force_reapply_syllabus_triggers.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260507110000_add_school_manage_modules_permission.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260507120000_platform_module_overrides.sql,Y,Y,0,N/A,N,0,PASS
supabase/migrations/20260507130000_extend_schools_for_gst.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260507130001_extend_school_invoices_for_gst.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260507130002_invoice_number_sequences.sql,Y,Y,1,Y,N,1,PASS
supabase/migrations/20260507130003_add_ff_gst_invoicing_v1.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260507140000_payment_reconciliation_queue.sql,Y,Y,0,N/A,Y,0,PASS
supabase/migrations/20260507140001_reconcile_payment_rpc.sql,N,N/A,2,Y,N,1,PASS
supabase/migrations/20260507140002_add_ff_offline_payment_reconciliation_v1.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260507150000_school_contracts.sql,Y,Y,0,N/A,Y,0,PASS
supabase/migrations/20260507150001_contract_number_sequences.sql,Y,Y,1,Y,N,1,PASS
supabase/migrations/20260507150002_add_ff_school_contracts_v1.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260508000001_syllabus_trigger_runtime_smoke.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260508120000_issue_lab_badge_authuid_check.sql,N,N/A,3,Y,N,0,PASS
supabase/migrations/20260508140000_subject_governance_rpcs_authuid_check.sql,N,N/A,5,Y,N,0,PASS
supabase/migrations/20260508200000_chapter_readiness_rpc.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260508210000_subject_readiness_rpc.sql,N,N/A,0,N/A,N,0,PASS
supabase/migrations/20260508220000_readiness_rubric_config.sql,Y,Y,0,N/A,N,0,PASS
supabase/migrations/20260508230000_foxy_message_feedback.sql,Y,Y,0,N/A,Y,0,PASS
supabase/migrations/20260508240000_foxy_quality_scores.sql,Y,Y,0,N/A,Y,0,PASS
supabase/migrations/20260509113406_phase1_promote_ncert_exercises_v2.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260509120000_pedagogy_v2_wave_1_flags.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260509124350_create_pending_subscription_clear_stale_lifecycle.sql,N,N/A,1,Y,N,0,PASS
supabase/migrations/20260509130000_mcp_applied_placeholder.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260509161642_emergency_fix_quiz_rpcs_drop_chapter_title.sql,N,N/A,2,Y,N,0,PASS
supabase/migrations/20260510000000_pedagogy_v2_wave_2_phenomena_and_dive.sql,Y,Y,0,N/A,N,0,PASS
supabase/migrations/20260510033000_restore_grant_execute_overrevoked_client_rpcs.sql,N,N/A,1,N,N,1,PASS (SD mention is comment-only, referencing pre-existing functions; hand-verified)
supabase/migrations/20260510035233_restore_grant_execute_overrevoked_client_rpcs.sql,N,N/A,0,N/A,N,2,PASS
supabase/migrations/20260510043216_agent_traces.sql,Y,Y,0,N/A,N,0,PASS
supabase/migrations/20260510050527_agent_traces.sql,N,N/A,0,N/A,N,2,PASS
